,Unnamed: 0,word_ngram_freq,volume_ngram_freq,freq,score
0,regarding,0.39623389346861665,1.5094442159105288,0.0,0.0
1,paraphrase,0.01759622988229087,0.23283560654117952,0.05867469871339065,0.7763912585219457
2,simeq,2.75722197434769e-06,1.078882649330204e-05,0.05867469871339065,0.22959019979351067
3,eigenvalues,0.010862260641700539,0.0323395074137367,0.46939758970712525,1.3975071426703678
4,regarded,0.48325311599008475,1.3349278267555387,0.35204819228034395,0.9724902182392923
5,covolume,4.965576396798177e-05,0.0004076018649177282,0.0,0.0
6,knapp,0.010511638208700547,0.07871074678815981,0.1173493974267813,0.8787078211041621
7,completed,0.3795826520285443,1.5775243004017574,0.05867469871339065,0.24384877060231133
8,limits,0.3890206915625592,1.7315626337663006,0.6454216858472972,2.8728242442495127
9,exact,0.2585172439783172,1.4226739999553266,0.1173493974267813,0.6457980677045627
10,enough,1.6229641585450387,2.9563976067829603,0.05867469871339065,0.10688205154850039
11,zuckerman,0.004506211190603959,0.029789891936834456,0.05867469871339065,0.38788970604459344
12,dual,0.10240674581277293,0.7233215521112417,1.3495180704079852,9.531945357137996
13,flexibility,0.10895994951925042,0.6733315245544281,0.0,0.0
14,ka,0.03780773204937443,0.2466625665750226,0.6454216858472972,4.210815114388921
15,mentioned,0.7175696729730262,1.6150586277720294,0.05867469871339065,0.13206115302555177
16,localizes,0.0010865859632377406,0.01747207295287745,0.1173493974267813,1.8869535427344064
17,continuation,0.0739023874839746,0.7385713425830244,0.2933734935669533,2.9319384988611157
18,ds,0.02935942354095622,0.19057728360254111,0.0,0.0
19,extensions,0.04542705299645766,0.3995704466995954,0.1173493974267813,1.0321900289988812
20,simpler,0.0680599629624738,0.6697494183821149,0.05867469871339065,0.5773929873971071
21,changing,0.40482711503600455,2.123116766604827,0.0,0.0
22,side,2.0990560561411806,2.7938924181629865,1.5842168652615478,2.1086294840153017
23,iso,0.03626732109232106,0.24850357192784334,0.17602409614017198,1.2061165622035572
24,matrix,0.23551482332035528,0.5848307808296969,0.0,0.0
25,constraints,0.1449463088334375,0.5599772085666176,0.0,0.0
26,serve,0.5790410173165422,1.7455380480526919,0.0,0.0
27,suggests,0.4113663694325558,1.1571866573616938,0.0,0.0
